"asin","product_avg_ratings","price","main_cat","rank"
"7178680776",3,44.99,"0",872854
"7250468162",5,28.76,"0",956696
"7414204790",4.4,12.15,"0",67701
"8921463194",1,24.99,"0",1676787
"9752980953",1,21.95,"0",2325042
"9790787006",4.2280701754386,13.85,"0",298893
"B00004U9V2",4.62371134020619,30,"1",4324
"B000050B6B",4.44155844155844,64.5,"0",148582
"B000050FDT",4.38372093023256,27.19,"0",358449
"B000050FDY",4.65149544863459,11.94,"0",1028
"B000052Y8Z",2.47916666666667,5.79,"0",308943
"B000052YAN",4.47,5.17,"0",120123
"B00005308M",5,5.4,"0",219144
"B0000531WK",5,11.56,"0",1015906
"B00005355V",4.33333333333333,31.9,"0",1615438
"B0000537I2",5,44.99,"0",3254882
"B00005GNB4",5,243.07,"0",2903415
"B00005JS5C",4.08803912850156,18.49,"0",457
"B00005NDTD",4.8625,18,"1",42464
"B00005QQYU",4.5,20.65,"0",659825
"B00005V50B",4.17741935483871,23,"1",5522
"B00005V50C",4.34615384615385,21.73,"1",122723
"B000065AB1",3.5,21.05,"0",1359849
"B000066SYB",4.49342105263158,25,"1",20146
"B000067EE4",2.625,144.18,"0",1141113
"B000068DWY",4.37359550561798,64,"1",30752
"B00006ANDP",2.75,9.9,"0",2686303
"B00006L9LC",4.81460674157303,23,"0",1693702
"B00006VIKS",2,5.02,"0",308660
"B00008SJXJ",5,29.99,"0",2489493
"B00008WFSM",3.99052132701422,39.99,"1",63508
"B00009EPV9",5,11.99,"0",3376766
"B00009RB1C",4.44583333333333,74.15,"0",247410
"B0000AE67W",4.13333333333333,9.95,"0",468983
"B0000AJ3Q4",3.33333333333333,13.99,"0",830086
"B0000C4COX",3.97058823529412,23.96,"0",79785
"B0000Y3D0A",4,8.79,"0",341816
"B0000Y3DD2",4.57142857142857,23.58,"0",39276
"B0000Y3NO6",3.79411764705882,85,"1",186829
"B0000Y8IOQ",4.7037037037037,19.75,"0",435539
"B00011QUKW",4.0561797752809,49.99,"1",11899
"B00012FL8I",4.37931034482759,14.98,"0",52659
"B000141PIG",4.58823529411765,13,"1",42512
"B000141PYK",4.47058823529412,11,"1",19407
"B0001428BY",3.5,19,"0",269252
"B000142FVW",4.2630890052356,8.4,"1",26115
"B000142ZFS",4.41201716738197,5.75,"0",18058
"B0001433YK",1,13,"1",669127
"B00014351Q",4.50223214285714,8.4,"1",65229
"B00014353E",4.56451612903226,8.4,"1",27440
"B00014353Y",4.88888888888889,8.4,"1",138147
"B0001435D4",4.33501259445844,8.92,"1",2297
"B000146LKS",4.21875,5.43,"0",130326
"B00014FDQQ",5,9.95,"0",367587
"B00014GT8W",4.17790414297319,39,"1",25522
"B000158MEA",4,29.95,"0",267615
"B000158MK4",2,24.87,"0",1201810
"B00015WOFS",5,21.38,"0",468382
"B00015XAQA",4.47457627118644,6.36,"0",105642
"B000162FRO",4,54.5,"0",983819
"B000162FYW",4.33333333333333,36,"0",2743004
"B00016WU5Q",3.83333333333333,14.24,"0",321563
"B00016WU6A",4.70934256055363,10.54,"0",18690
"B000172R8A",5,17.89,"0",1129674
"B0001AD4TS",4.44230769230769,7.95,"0",539244
"B0001D35FI",4.03846153846154,13.49,"0",390629
"B0001DHH0M",3.07692307692308,4.42,"0",690854
"B0001EKTTC",4.69230769230769,49,"1",96424
"B0001EKVCW",4.36641221374046,15,"1",233606
"B0001EKVGS",4.54268292682927,22,"1",112732
"B0001EKYEM",3.30909090909091,24,"1",15546
"B0001EL0WC",4.38095238095238,85,"1",77438
"B0001EL4DC",4.53448275862069,48,"1",40349
"B0001EL4EQ",3.5,48,"1",234230
"B0001EL4M8",4.328125,22,"1",217411
"B0001EL4Q4",3.2,20,"1",302148
"B0001EL4TQ",5,20,"1",272200
"B0001EL5H2",4.77777777777778,10,"1",335549
"B0001EL5JA",4.68292682926829,36,"1",27830
"B0001EL5KO",4.33333333333333,44,"1",17990
"B0001EL5Q8",4.18181818181818,69,"1",22770
"B0001EL5R2",4.04285714285714,28,"1",20432
"B0001EL9BO",4.59705882352941,44,"1",71226
"B0001EQO1E",5,15.99,"0",1583337
"B0001F3QV4",2.9,24,"1",59539
"B0001HYLR0",4.30588235294118,49.5,"0",514540
"B0001K0PPY",5,4.43,"0",1254099
"B0001K0PR2",3,6.89,"0",1540344
"B0001KBP08",3.53448275862069,14.16,"0",115981
"B0001M1IAI",3.88888888888889,6.9,"0",478707
"B0001NAYOI",4.05,30,"1",259929
"B0001QNKRI",4,44,"1",616694
"B0001QNL0Y",5,48,"1",898746
"B0001QNL5Y",5,29,"1",410179
"B0001UWRCI",4.56741573033708,13.68,"1",16127
"B0001WGEHA",1,44.12,"0",2421494
